"topicId";"word";"weight"
0;"piscina";396.0
0;"comida";363.0
0;"mas";354.0
0;"solo";232.0
0;"dia";210.0
0;"dias";172.0
0;"mal";171.0
0;"bien";169.0
0;"estrellas";152.0
0;"playa";151.0
0;"bueno";147.0
0;"dos";145.0
0;"comer";142.0
0;"restaurante";142.0
0;"desayuno";139.0
1;"recepción";381.0
1;"reserva";351.0
1;"día";345.0
1;"hacer";199.0
1;"llegamos";199.0
1;"después";193.0
1;"noche";189.0
1;"dos";177.0
1;"hora";174.0
1;"vez";160.0
1;"nadie";158.0
1;"así";153.0
1;"llegar";145.0
1;"problema";141.0
1;"mañana";141.0
2;"personal";802.0
2;"sevilla";613.0
2;"desayuno";419.0
2;"ubicación";367.0
2;"trato";350.0
2;"excelente";345.0
2;"atención";313.0
2;"terraza";282.0
2;"servicio";279.0
2;"duda";270.0
2;"amable";263.0
2;"bien";261.0
2;"vistas";249.0
2;"buena";241.0
2;"recomendable";227.0
3;"the";92.0
3;"and";61.0
3;"was";31.0
3;"room";27.0
3;"for";24.0
3;"with";19.0
3;"were";18.0
3;"pas";18.0
3;"very";17.0
3;"this";17.0
3;"had";15.0
3;"you";15.0
3;"très";13.0
3;"per";13.0
3;"non";13.0
4;"bien";1369.0
4;"precio";794.0
4;"centro";660.0
4;"desayuno";632.0
4;"personal";612.0
4;"buena";597.0
4;"bastante";578.0
4;"zona";505.0
4;"parking";504.0
4;"cerca";466.0
4;"baño";458.0
4;"ubicación";453.0
4;"noche";397.0
4;"calidad";358.0
4;"amable";335.0
5;"baño";763.0
5;"cama";545.0
5;"noche";383.0
5;"ducha";341.0
5;"aire";316.0
5;"dos";309.0
5;"mal";293.0
5;"ruido";260.0
5;"limpieza";254.0
5;"toallas";248.0
5;"agua";244.0
5;"bien";242.0
5;"puerta";239.0
5;"solo";231.0
5;"acondicionado";229.0
